Common Name|Scientific Name|Color|Region
Queen of the Night|Epihyllum oxypetalum|white with pale purple|Asia, South America
Turquoise Jade Vine|Strongylodon macrobotrys|Turquoise|Philippines
Chocolate cosmos|Cosmos atrosanguineus|Velvet|Mexico
Catchfly|Silene|White|Central Germany
Ghost orchid|Dendrophylax lindenii|White|Florida, Cuba
Lotus vine flower|Lotus berthelotii|Orange-red, Red|Canary island
Titan Arum/Corpse plant|Amorphophallus titanum|Deep Red|Sumatra
Cosmos|Cosmos|variable depending upon genus|Americas
White Egyptian/Tiger lotus|White with shade of yellow|East Africa, Southeast Asia
Lady's-slipper orchid|Cypripedium calceolus|Yellow with maroon veins|Europe, Asia
